Region,Country/Territory,DeathsAttributable,DiabetesRelatedExpPP,Year,,,
Middle East and North Africa,Afghanistan,"15,568",-,2011,,,
Europe,Albania,854,448,2011,,,
Middle East and North Africa,Algeria,"9,395",415,2011,,,
Western Pacific,American Samoa,-,-,2011,,,
Europe,Andorra,34,"3,910.00",2011,,,
Africa,Angola,"2,384",277,2011,,,
North America and Caribbean,Anguilla,"2,384",277,2011,,,
North America and Caribbean,Antigua and Barbuda,93,915,2011,,,
South and Central America,Argentina,"15,049",967,2011,,,
Europe,Armenia,"2,150",186,2011,,,
North America and Caribbean,Aruba,-,-,2011,,,
Western Pacific,Australia,"7,325","4,878.00",2011,,,
Europe,Austria,"4,322","5,641.00",2011,,,
Europe,Azerbaijan,"2,735",366,2011,,,
North America and Caribbean,Bahamas,292,"2,056.00",2011,,,
Middle East and North Africa,Bahrain,545,"1,331.00",2011,,,
South-East Asia,Bangladesh,"144,443",27,2011,,,
North America and Caribbean,Barbados,263,"1,139.00",2011,,,
Europe,Belarus,"10,045",412,2011,,,
Europe,Belgium,"4,331","5,862.00",2011,,,
North America and Caribbean,Belize,276,299,2011,,,
Africa,Benin,"1,001",60,2011,,,
North America and Caribbean,Bermuda,-,-,2011,,,
South-East Asia,Bhutan,120,174,2011,,,
South and Central America,Bolivia (Plurinational State of),"4,431",125,2011,,,
Europe,Bosnia and Herzegovina,"2,535",629,2011,,,
Africa,Botswana,"1,252",816,2011,,,
South and Central America,Brazil,"121,082","1,038.00",2011,,,
North America and Caribbean,British Virgin Islands,-,-,2011,,,
Western Pacific,Brunei Darussalam,205,"1,221.00",2011,,,
Europe,Bulgaria,"8,205",532,2011,,,
Africa,Burkina Faso,"3,231",69,2011,,,
Africa,Burundi,"1,860",35,2011,,,
Africa,Cabo Verde,112,242,2011,,,
Western Pacific,Cambodia,"4,895",82,2011,,,
Africa,Cameroon,"10,829",109,2011,,,
North America and Caribbean,Canada,"17,638","5,106.00",2011,,,
North America and Caribbean,Cayman Islands,-,-,2011,,,
Africa,Central African Republic,"1,267",34,2011,,,
Africa,Chad,"6,059",86,2011,,,
Europe,Channel Islands,-,-,2011,,,
South and Central America,Chile,"7,927","1,042.00",2011,,,
Western Pacific,China,"1,133,918",194,2011,,,
Western Pacific,"China, Hong Kong SAR",-,"2,059.00",2011,,,
Western Pacific,"China, Macao SAR",-,"1,072.00",2011,,,
South and Central America,Colombia,"19,572",480,2011,,,
Africa,Comoros,174,46,2011,,,
Africa,Congo,"1,424",143,2011,,,
Western Pacific,Cook Islands,5,501,2011,,,
South and Central America,Costa Rica,"1,707",924,2011,,,
Europe,Croatia,"2,271","1,443.00",2011,,,
South and Central America,Cuba,"7,983",811,2011,,,
North America and Caribbean,Curaçao,-,-,2011,,,
Europe,Cyprus,456,"2,162.00",2011,,,
Europe,Czechia,"5,889","1,690.00",2011,,,
Africa,Côte d'Ivoire,"4,271",107,2011,,,
Western Pacific,Democratic People's Republic of Korea,"33,322",-,2011,,,
Africa,Democratic Republic of the Congo,"52,949",25,2011,,,
Europe,Denmark,"2,726","6,963.00",2011,,,
Africa,Djibouti,359,131,2011,,,
North America and Caribbean,Dominica,35,457,2011,,,
South and Central America,Dominican Republic,"5,450",414,2011,,,
South and Central America,Ecuador,"5,126",337,2011,,,
Middle East and North Africa,Egypt,"65,003",-,2011,,,
South and Central America,El Salvador,"3,056",336,2011,,,
Africa,Equatorial Guinea,216,922,2011,,,
Africa,Eritrea,"1,280",17,2011,,,
Europe,Estonia,"1,264","1,222.00",2011,,,
Africa,Eswatini,527,246,2011,,,
Africa,Ethiopia,"25,491",25,2011,,,
Europe,Faroe Islands,-,-,2011,,,
Western Pacific,Fiji,994,230,2011,,,
Europe,Finland,"2,753","4,976.00",2011,,,
Europe,France,"21,782","5,632.00",2011,,,
South and Central America,French Guiana,-,-,2011,,,
Western Pacific,French Polynesia,-,-,2011,,,
Africa,Gabon,704,387,2011,,,
Africa,Gambia,144,46,2011,,,
Europe,Georgia,"1,432",332,2011,,,
Europe,Germany,"42,971","5,098.00",2011,,,
Africa,Ghana,"6,108",113,2011,,,
Europe,Greece,"4,858","3,419.00",2011,,,
Europe,Greenland,-,-,2011,,,
North America and Caribbean,Grenada,68,742,2011,,,
North America and Caribbean,Guadeloupe,-,-,2011,,,
Western Pacific,Guam,-,-,2011,,,
South and Central America,Guatemala,"6,585",314,2011,,,
Africa,Guinea,"2,348",37,2011,,,
Africa,Guinea-Bissau,332,31,2011,,,
North America and Caribbean,Guyana,"1,260",165,2011,,,
North America and Caribbean,Haiti,"6,012",68,2011,,,
Europe,Holy See,-,-,2011,,,
South and Central America,Honduras,"2,133",211,2011,,,
Europe,Hungary,"7,353","1,274.00",2011,,,
Europe,Iceland,56,"6,278.00",2011,,,
South-East Asia,India,"983,203",68,2011,,,
Western Pacific,Indonesia,"149,872",80,2011,,,
Middle East and North Africa,Iran (Islamic Republic of),"30,475",405,2011,,,
Middle East and North Africa,Iraq,"13,085",182,2011,,,
Europe,Ireland,"1,457","6,629.00",2011,,,
Europe,Isle of Man,-,-,2011,,,
Europe,Israel,"2,777","2,748.00",2011,,,
Europe,Italy,"26,111","3,541.00",2011,,,
North America and Caribbean,Jamaica,"2,254",335,2011,,,
Western Pacific,Japan,"81,446","3,266.00",2011,,,
Middle East and North Africa,Jordan,"2,118",544,2011,,,
Europe,Kazakhstan,"14,857",468,2011,,,
Africa,Kenya,"13,269",57,2011,,,
