areaCode,areaName,areaType,date,newDeaths60DaysByDeathDate
E12000001,North East,region,2021-11-14,0
E12000001,North East,region,2021-11-13,0
E12000001,North East,region,2021-11-12,2
E12000001,North East,region,2021-11-11,9
E12000001,North East,region,2021-11-10,8
E12000001,North East,region,2021-11-09,12
E12000001,North East,region,2021-11-08,11
E12000001,North East,region,2021-11-07,10
E12000001,North East,region,2021-11-06,8
E12000001,North East,region,2021-11-05,13
E12000001,North East,region,2021-11-04,9
E12000001,North East,region,2021-11-03,14
E12000001,North East,region,2021-11-02,13
E12000001,North East,region,2021-11-01,9
E12000001,North East,region,2021-10-31,15
E12000001,North East,region,2021-10-30,10
E12000001,North East,region,2021-10-29,7
E12000001,North East,region,2021-10-28,12
E12000001,North East,region,2021-10-27,10
E12000001,North East,region,2021-10-26,8
E12000001,North East,region,2021-10-25,6
E12000001,North East,region,2021-10-24,16
E12000001,North East,region,2021-10-23,6
E12000001,North East,region,2021-10-22,10
E12000001,North East,region,2021-10-21,11
E12000001,North East,region,2021-10-20,8
E12000001,North East,region,2021-10-19,16
E12000001,North East,region,2021-10-18,5
E12000001,North East,region,2021-10-17,10
E12000001,North East,region,2021-10-16,6
E12000001,North East,region,2021-10-15,8
E12000001,North East,region,2021-10-14,10
E12000001,North East,region,2021-10-13,9
E12000001,North East,region,2021-10-12,9
E12000001,North East,region,2021-10-11,9
E12000001,North East,region,2021-10-10,8
E12000001,North East,region,2021-10-09,7
E12000001,North East,region,2021-10-08,10
E12000001,North East,region,2021-10-07,6
E12000001,North East,region,2021-10-06,3
E12000001,North East,region,2021-10-05,8
E12000001,North East,region,2021-10-04,5
E12000001,North East,region,2021-10-03,7
E12000001,North East,region,2021-10-02,9
E12000001,North East,region,2021-10-01,9
E12000001,North East,region,2021-09-30,13
E12000001,North East,region,2021-09-29,11
E12000001,North East,region,2021-09-28,7
E12000001,North East,region,2021-09-27,7
E12000001,North East,region,2021-09-26,11
E12000001,North East,region,2021-09-25,7
E12000001,North East,region,2021-09-24,8
E12000001,North East,region,2021-09-23,10
E12000001,North East,region,2021-09-22,15
E12000001,North East,region,2021-09-21,7
E12000001,North East,region,2021-09-20,14
E12000001,North East,region,2021-09-19,9
E12000001,North East,region,2021-09-18,6
E12000001,North East,region,2021-09-17,12
E12000001,North East,region,2021-09-16,14
E12000001,North East,region,2021-09-15,17
E12000001,North East,region,2021-09-14,14
E12000001,North East,region,2021-09-13,5
E12000001,North East,region,2021-09-12,6
E12000001,North East,region,2021-09-11,8
E12000001,North East,region,2021-09-10,12
E12000001,North East,region,2021-09-09,7
E12000001,North East,region,2021-09-08,1
E12000001,North East,region,2021-09-07,9
E12000001,North East,region,2021-09-06,6
E12000001,North East,region,2021-09-05,5
E12000001,North East,region,2021-09-04,7
E12000001,North East,region,2021-09-03,11
E12000001,North East,region,2021-09-02,10
E12000001,North East,region,2021-09-01,2
E12000001,North East,region,2021-08-31,8
E12000001,North East,region,2021-08-30,10
E12000001,North East,region,2021-08-29,4
E12000001,North East,region,2021-08-28,12
E12000001,North East,region,2021-08-27,10
E12000001,North East,region,2021-08-26,1
E12000001,North East,region,2021-08-25,11
E12000001,North East,region,2021-08-24,11
E12000001,North East,region,2021-08-23,7
E12000001,North East,region,2021-08-22,11
E12000001,North East,region,2021-08-21,8
E12000001,North East,region,2021-08-20,11
E12000001,North East,region,2021-08-19,12
E12000001,North East,region,2021-08-18,9
E12000001,North East,region,2021-08-17,9
E12000001,North East,region,2021-08-16,4
E12000001,North East,region,2021-08-15,4
E12000001,North East,region,2021-08-14,5
E12000001,North East,region,2021-08-13,3
E12000001,North East,region,2021-08-12,6
E12000001,North East,region,2021-08-11,4
E12000001,North East,region,2021-08-10,6
E12000001,North East,region,2021-08-09,9
E12000001,North East,region,2021-08-08,4
E12000001,North East,region,2021-08-07,7
E12000001,North East,region,2021-08-06,9
E12000001,North East,region,2021-08-05,9
E12000001,North East,region,2021-08-04,12
E12000001,North East,region,2021-08-03,14
E12000001,North East,region,2021-08-02,10
E12000001,North East,region,2021-08-01,9
E12000001,North East,region,2021-07-31,10
E12000001,North East,region,2021-07-30,8
E12000001,North East,region,2021-07-29,8
E12000001,North East,region,2021-07-28,6
E12000001,North East,region,2021-07-27,2
E12000001,North East,region,2021-07-26,10
E12000001,North East,region,2021-07-25,5
E12000001,North East,region,2021-07-24,12
E12000001,North East,region,2021-07-23,4
E12000001,North East,region,2021-07-22,7
E12000001,North East,region,2021-07-21,8
E12000001,North East,region,2021-07-20,5
E12000001,North East,region,2021-07-19,13
E12000001,North East,region,2021-07-18,1
E12000001,North East,region,2021-07-17,3
E12000001,North East,region,2021-07-16,5
E12000001,North East,region,2021-07-15,4
E12000001,North East,region,2021-07-14,4
E12000001,North East,region,2021-07-13,5
E12000001,North East,region,2021-07-12,2
E12000001,North East,region,2021-07-11,4
E12000001,North East,region,2021-07-10,2
E12000001,North East,region,2021-07-09,8
E12000001,North East,region,2021-07-08,3
E12000001,North East,region,2021-07-07,2
E12000001,North East,region,2021-07-06,3
E12000001,North East,region,2021-07-05,1
E12000001,North East,region,2021-07-04,0
E12000001,North East,region,2021-07-03,4
E12000001,North East,region,2021-07-02,0
E12000001,North East,region,2021-07-01,4
E12000001,North East,region,2021-06-30,0
E12000001,North East,region,2021-06-29,1
E12000001,North East,region,2021-06-28,0
E12000001,North East,region,2021-06-27,2
E12000001,North East,region,2021-06-26,0
E12000001,North East,region,2021-06-25,1
E12000001,North East,region,2021-06-24,1
E12000001,North East,region,2021-06-23,0
E12000001,North East,region,2021-06-22,3
E12000001,North East,region,2021-06-21,1
E12000001,North East,region,2021-06-20,0
E12000001,North East,region,2021-06-19,0
E12000001,North East,region,2021-06-18,0
E12000001,North East,region,2021-06-17,0
E12000001,North East,region,2021-06-16,0
