areaCode,areaName,areaType,date,newPeopleVaccinatedCompleteByVaccinationDate
E12000001,North East,region,02/10/2021,1490
E12000001,North East,region,01/10/2021,1261
E12000001,North East,region,30/09/2021,1610
E12000001,North East,region,29/09/2021,1310
E12000001,North East,region,28/09/2021,1111
E12000001,North East,region,27/09/2021,821
E12000001,North East,region,26/09/2021,1173
E12000001,North East,region,25/09/2021,1794
E12000001,North East,region,24/09/2021,1714
E12000001,North East,region,23/09/2021,2205
E12000001,North East,region,22/09/2021,2384
E12000001,North East,region,21/09/2021,1435
E12000001,North East,region,20/09/2021,1533
E12000001,North East,region,19/09/2021,2087
E12000001,North East,region,18/09/2021,3444
E12000001,North East,region,17/09/2021,3272
E12000001,North East,region,16/09/2021,3108
E12000001,North East,region,15/09/2021,2833
E12000001,North East,region,14/09/2021,2682
E12000001,North East,region,13/09/2021,2417
E12000001,North East,region,12/09/2021,3165
E12000001,North East,region,11/09/2021,4181
E12000001,North East,region,10/09/2021,4075
E12000001,North East,region,09/09/2021,5049
E12000001,North East,region,08/09/2021,3763
E12000001,North East,region,07/09/2021,3005
E12000001,North East,region,06/09/2021,2732
E12000001,North East,region,05/09/2021,3736
E12000001,North East,region,04/09/2021,4913
E12000001,North East,region,03/09/2021,5253
E12000001,North East,region,02/09/2021,5816
E12000001,North East,region,01/09/2021,5060
E12000001,North East,region,31/08/2021,4607
E12000001,North East,region,30/08/2021,2673
E12000001,North East,region,29/08/2021,3719
E12000001,North East,region,28/08/2021,4618
E12000001,North East,region,27/08/2021,5312
E12000001,North East,region,26/08/2021,5673
E12000001,North East,region,25/08/2021,6743
E12000001,North East,region,24/08/2021,5189
E12000001,North East,region,23/08/2021,4391
E12000001,North East,region,22/08/2021,5105
E12000001,North East,region,21/08/2021,7514
E12000001,North East,region,20/08/2021,5667
E12000001,North East,region,19/08/2021,5986
E12000001,North East,region,18/08/2021,6804
E12000001,North East,region,17/08/2021,5063
E12000001,North East,region,16/08/2021,4480
E12000001,North East,region,15/08/2021,5506
E12000001,North East,region,14/08/2021,7152
E12000001,North East,region,13/08/2021,7395
E12000001,North East,region,12/08/2021,7354
E12000001,North East,region,11/08/2021,6108
E12000001,North East,region,10/08/2021,4476
E12000001,North East,region,09/08/2021,3321
E12000001,North East,region,08/08/2021,5271
E12000001,North East,region,07/08/2021,7618
E12000001,North East,region,06/08/2021,6024
E12000001,North East,region,05/08/2021,7361
E12000001,North East,region,04/08/2021,5890
E12000001,North East,region,03/08/2021,4418
E12000001,North East,region,02/08/2021,2983
E12000001,North East,region,01/08/2021,4082
E12000001,North East,region,31/07/2021,7903
E12000001,North East,region,30/07/2021,5679
E12000001,North East,region,29/07/2021,6651
E12000001,North East,region,28/07/2021,7021
E12000001,North East,region,27/07/2021,3911
E12000001,North East,region,26/07/2021,3028
E12000001,North East,region,25/07/2021,4436
E12000001,North East,region,24/07/2021,6566
