country,deaths_att,diab_cost,usd_sum,
Afghanistan,"31,743",143.1,170,
Argentina,"26,944","1,420.40",6.666666667,
Australia,"23,226","5,944.00",109.705,
Austria,"12,021","6,574.70",31,
Belgium,"10,714","6,433.20",56.56333333,
Bolivia (Plurinational State of),"7,517",898.8,435.285,
Bulgaria,"10,521","1,892.40",226,
Canada,"53,046","4,802.90",258.2096429,
Costa Rica,"3,663","2,890.00",290.294,
Dominican Republic,"12,777","1,490.10",603.058,
Finland,"9,338","5,514.60",1.5,
France,"87,434","5,760.10",9.333333333,
Gabon,"1,215","1,137.80",,
Georgia,"4,271",877.1,,
Germany,"151,463","6,660.70",17.113,
Ghana,"6,255",279.4,136.8292897,
Greece,"22,350","1,747.10",1.16,
Guatemala,"13,850",888.5,767.6666667,
Honduras,"3,796",749.1,160,
India,"647,831",114.4,105.1333333,
Jamaica,"4,303",884.9,140,
Japan,"245,010","3,239.30",92.415,
Jordan,"5,705",980.7,569.5,
Kenya,"15,285",448.6,342.2314,
Kuwait,"2,153","1,823.60",151.5,
Lebanon,"5,492","1,930.80",236.25,
Mexico,"184,384","1,412.30",113,
Morocco,"31,435",473.7,218,
Namibia,"1,674","2,120.90",208.2,
Netherlands,"21,213","6,444.90",40,
New Zealand,"4,719","3,967.50",60,
Nigeria,"48,375",499.7,197.3333333,
Philippines,"66,461",450.8,157.4595111,
Poland,"5,330",994.3,22,
South Korea,"47,522","2,554.60",178,
Russia,"20,723","1,739.80",135,
Somalia,"8,834",-,10,
South Africa,"95,676","1,700.70",183.635,
Spain,"81,717","3,005.80",60.38,
Syria,"14,060",-,230,
Uganda,"10,416",227.4,61.33333333,
United Arab Emirates,"4,343","2,109.50",18.5,
United Kingdom,"140,775","5,859.30",38,
United States of America,"669,384","11,779.20",489.7777066,
Venezuela (Bolivarian Republic of),"30,280",0,350,
Zambia,"15,519",334.4,18.88,
Zimbabwe,"2,942",794.4,94.8,
