"","month","year","BNFSectionName","id","Quantity"
"1","April","2008","Absorbent Cottons","April 2008",777850
"2","April","2008","Acids","April 2008",875205
"3","April","2008","Acne and Rosacea","April 2008",9720351
"4","April","2008","Acute Diarrhoea","April 2008",8945324
"5","April","2008","Adhesive (Pastes/Sprays/Solutions)","April 2008",2125
"6","April","2008","Adhesive Discs/Rings/Pads/Plasters","April 2008",513873
"7","April","2008","Adhesive Removers (Sprays/Liquids/Wipes)","April 2008",192002
"8","April","2008","Alcohol, Wines & Spirits","April 2008",2595
"9","April","2008","Anaemias + Other Blood Disorders","April 2008",43051953
"10","April","2008","Anal Irrigation System","April 2008",1069
"11","April","2008","Anal Plugs","April 2008",10271
"12","April","2008","Analgesics","April 2008",448282117
"13","April","2008","Anthelmintics","April 2008",353037
"14","April","2008","Anti-Arrhythmic Drugs","April 2008",4541163
"15","April","2008","Anti-Infective Eye Preparations","April 2008",1926570
"16","April","2008","Anti-Infective Skin Preparations","April 2008",11619853
"17","April","2008","Antibacterial Drugs","April 2008",127626273
"18","April","2008","Anticoagulants And Protamine","April 2008",34326942
"19","April","2008","Antidepressant Drugs","April 2008",117615867
"20","April","2008","Antiepileptics","April 2008",92808875
"21","April","2008","Antifibrinolytic Drugs & Haemostatics","April 2008",1952358
"22","April","2008","Antifungal Drugs","April 2008",4005385
"23","April","2008","Antihist, Hyposensit & Allergic Emergen","April 2008",42082504
"24","April","2008","Antiperspirants","April 2008",366753
"25","April","2008","Antiplatelet Drugs","April 2008",114224996
"26","April","2008","Antiprotozoal Drugs","April 2008",9298843
"27","April","2008","Antisecretory Drugs+Mucosal Protectants","April 2008",106309737
"28","April","2008","Antispasmod.&Other Drgs Alt.Gut Motility","April 2008",24205387
"29","April","2008","Antiviral Drugs","April 2008",2122693
"30","April","2008","Arm Sling/Bandages","April 2008",1432450
"31","April","2008","Aromatic Inhalations","April 2008",227069
"32","April","2008","Bag Closures","April 2008",64354
"33","April","2008","Bag Covers","April 2008",3698
"34","April","2008","Base/Dil/Susp Agents/Stabilisers","April 2008",20479506
"35","April","2008","Belts","April 2008",7010
"36","April","2008","Beta-Adrenoceptor Blocking Drugs","April 2008",93004120
"37","April","2008","Bitters And Tonics","April 2008",28240
"38","April","2008","Bronchodilators","April 2008",23784603
"39","April","2008","Catheter Maintenance Solutions","April 2008",173641
"40","April","2008","Catheter Valves","April 2008",38903
"41","April","2008","Catheters","April 2008",238023
"42","April","2008","Cellulose Wadding BP 1988","April 2008",17000
"43","April","2008","Cervical Collar","April 2008",203
"44","April","2008","Chiropody Appliances","April 2008",11897
"45","April","2008","Chronic Bowel Disorders","April 2008",21532687
"46","April","2008","CNS Stimulants and drugs used for ADHD","April 2008",3358809
"47","April","2008","Colostomy Bags","April 2008",2061802
"48","April","2008","Colostomy Sets","April 2008",129
"49","April","2008","Colouring,Flavouring & Sweetening Agents","April 2008",1342
"50","April","2008","Compound Vit/Mineral Formulations","April 2008",1038035
"51","April","2008","Contact Lenses","April 2008",121
"52","April","2008","Contraceptive Devices","April 2008",1557
"53","April","2008","Contraceptives","April 2008",62607274
"54","April","2008","Cordials/Soft Drinks","April 2008",4131490
"55","April","2008","Corti'roids & Other Anti-Inflamm.Preps.","April 2008",2429737
"56","April","2008","Corticosteroids (Endocrine)","April 2008",27463531
"57","April","2008","Corticosteroids (Respiratory)","April 2008",2436530
"58","April","2008","Cough Preparations","April 2008",24258762
"59","April","2008","Cromoglycate,Rel,Leukotriene Antagonists","April 2008",3115330
"60","April","2008","Cytotoxic Drugs","April 2008",741220
"61","April","2008","Deodorants","April 2008",67661
"62","April","2008","Discharge Solidifying Agents","April 2008",196030
"63","April","2008","Disinfectants,Preserv&Sterilising Agents","April 2008",1167
"64","April","2008","Diuretics","April 2008",115108660
"65","April","2008","Drugs Acting On The Ear","April 2008",1128473
"66","April","2008","Drugs Acting On The Nose","April 2008",1982401
"67","April","2008","Drugs Acting On The Oropharynx","April 2008",31875262
"68","April","2008","Drugs Affecting Bone Metabolism","April 2008",3750045
"69","April","2008","Drugs Affecting Intestinal Secretions","April 2008",6300771
"70","April","2008","Drugs Affecting The Immune Response","April 2008",7524750
"71","April","2008","Drugs for Dementia","April 2008",2606236
"72","April","2008","Drugs For Genito-Urinary Disorders","April 2008",25219304
"73","April","2008","Drugs Used In Diabetes","April 2008",179784820
"74","April","2008","Drugs Used In Nausea And Vertigo","April 2008",36774754
"75","April","2008","Drugs Used In Neuromuscular  Disorders","April 2008",13403278
"76","April","2008","Drugs Used In Obstetrics","April 2008",75
"77","April","2008","Drugs Used In Park'ism/Related Disorders","April 2008",20954618
"78","April","2008","Drugs Used In Psychoses & Rel.Disorders","April 2008",32050160
"79","April","2008","Drugs Used In Rheumatic Diseases & Gout","April 2008",110893988
"80","April","2008","Drugs Used In Substance Dependence","April 2008",148964994
"81","April","2008","Drugs used in the Treatment of Obesity","April 2008",7075857
"82","April","2008","Dry Mouth Products","April 2008",97649
"83","April","2008","Dyspep&Gastro-Oesophageal Reflux Disease","April 2008",171863463
"84","April","2008","Elastic Hosiery","April 2008",161193
"85","April","2008","Electrode/Ultrasonic Gels","April 2008",450
"86","April","2008","Emollient & Barrier Preparations","April 2008",530447321
"87","April","2008","Emollients","April 2008",26263152
"88","April","2008","Eye Products","April 2008",271
"89","April","2008","Faecal Collectors","April 2008",250
"90","April","2008","Filters/Bridges","April 2008",32324
"91","April","2008","Flanges","April 2008",788
"92","April","2008","Fluids And Electrolytes","April 2008",6308783
"93","April","2008","Foam","April 2008",106
"94","April","2008","Foods","April 2008",47529419
"95","April","2008","Gauzes & Gauze Tissue","April 2008",3588554
"96","April","2008","General Anaesthesia","April 2008",82821
"97","April","2008","Health Supplements","April 2008",231247
"98","April","2008","Hypertension and Heart Failure","April 2008",182723508
"99","April","2008","Hypnotics And Anxiolytics","April 2008",43890484
"100","April","2008","Hypothalamic&Pituitary Hormones&Antioest","April 2008",915863
"101","April","2008","Ileostomy Bags","April 2008",1099713
"102","April","2008","Ileostomy Sets","April 2008",8
"103","April","2008","Immunoglobulins","April 2008",1552
"104","April","2008","Incontinence Belts","April 2008",2
"105","April","2008","Incontinence Sheath Fixing Strips & Adh","April 2008",22573
"106","April","2008","Incontinence Sheaths","April 2008",531689
"107","April","2008","Intravenous Nutrition","April 2008",3
"108","April","2008","Irrigation Solutions","April 2008",865428
"109","April","2008","Irrigation Washout Appliances","April 2008",28305
"110","April","2008","Laxatives","April 2008",232674873
"111","April","2008","Leg Bags","April 2008",555694
"112","April","2008","Leg Ulcer Wrap","April 2008",32
"113","April","2008","Lints","April 2008",97525
"114","April","2008","Lipid-Regulating Drugs","April 2008",150688770
"115","April","2008","Local Anaesthesia","April 2008",658602
"116","April","2008","Local Anaesthetics","April 2008",1281
"117","April","2008","Local Prepn for Anal & Rectal Disorders","April 2008",3590405
"118","April","2008","Local Sclerosants","April 2008",25
"119","April","2008","Lubricant Gels","April 2008",931161
"120","April","2008","Lymphoedema Garments","April 2008",5078
"121","April","2008","Metabolic Disorders","April 2008",132061
"122","April","2008","Minerals","April 2008",12815685
"123","April","2008","Miscellaneous Ophthalmic Preparations","April 2008",8722133
"124","April","2008","Miscellaneous Topical Preparations","April 2008",12323
"125","April","2008","Mucolytics","April 2008",8995645
"126","April","2008","Mydriatics And Cycloplegics","April 2008",94603
"127","April","2008","Nasal Products","April 2008",20166
"128","April","2008","Night Drainage Bags","April 2008",1275164
"129","April","2008","Nit,Calc Block & Other Antianginal Drugs","April 2008",129143330
"130","April","2008","Oral Film Forming Agents","April 2008",30784
"131","April","2008","Oral Nutrition","April 2008",1895913519
"132","April","2008","Other Appliances","April 2008",39273874
"133","April","2008","Other Endocrine Drugs","April 2008",267010
"134","April","2008","Other Health Supplements","April 2008",5236294
"135","April","2008","Other Preparations","April 2008",35829
"136","April","2008","Oxygen","April 2008",42
"137","April","2008","Oxygen Masks","April 2008",58
"138","April","2008","Peak Flow Meters","April 2008",20316
"139","April","2008","Plantar Pressure Offloading Device","April 2008",910
"140","April","2008","Plasters","April 2008",2899
"141","April","2008","Positive Inotropic Drugs","April 2008",9985469
"142","April","2008","Preparations For Eczema And Psoriasis","April 2008",13060088
"143","April","2008","Preparations For Warts And Calluses","April 2008",380699
"144","April","2008","Pressure Plates/Shields","April 2008",9552
"145","April","2008","Selective Preparations","April 2008",15298919
"146","April","2008","Sex Hormones","April 2008",22654822
"147","April","2008","Sex Hormones & Antag In Malig Disease","April 2008",5525515
"148","April","2008","Shampoo&Other Preps For Scalp&Hair Cond","April 2008",26345347
"149","April","2008","Silk Garments","April 2008",285
"150","April","2008","Single Substances","April 2008",506165
"151","April","2008","Skin Adhesive,Sterile","April 2008",50
"152","April","2008","Skin Cleansers,Antiseptics & Desloughing","April 2008",6012005
"153","April","2008","Skin Closure Strips, Sterile","April 2008",54996
"154","April","2008","Skin Fillers And Protectives","April 2008",388474
"155","April","2008","Skin Protectors","April 2008",271730
"156","April","2008","Sodium Hyaluronate","April 2008",17780
"157","April","2008","Soft-Tissue Disorders & Topical Pain Rel","April 2008",39808931
"158","April","2008","Stockinette","April 2008",223841
"159","April","2008","Stoma Caps/Dressings","April 2008",61334
"160","April","2008","Stoma Care","April 2008",6316
"161","April","2008","Sunscreens And Camouflagers","April 2008",1333296
"162","April","2008","Surgical Adhesive Tape","April 2008",168951
"163","April","2008","Surgical Sutures","April 2008",233
"164","April","2008","Suspensory Systems","April 2008",1965
"165","April","2008","Swabs","April 2008",9238758
"166","April","2008","Sympathomimetics","April 2008",37893
"167","April","2008","Systemic Nasal Decongestants","April 2008",3600233
"168","April","2008","Thyroid And Antithyroid Drugs","April 2008",74845638
"169","April","2008","Top Local Anaesthetics & Antipruritics","April 2008",5040036
"170","April","2008","Topical Circulatory Preparations","April 2008",700532
"171","April","2008","Topical Corticosteroids","April 2008",55713872
"172","April","2008","Tracheostomy & Laryngectomy Appliances","April 2008",278335
"173","April","2008","Treatment Of Glaucoma","April 2008",3810879
"174","April","2008","Treatment Of Vaginal & Vulval Conditions","April 2008",3221035
"175","April","2008","Trusses","April 2008",550
"176","April","2008","Tubing & Accessories","April 2008",3682
"177","April","2008","Tubing And Accessories","April 2008",62776
"178","April","2008","Two Piece Ostomy Systems","April 2008",1377972
"179","April","2008","Unspecified Dressing","April 2008",587
"180","April","2008","Urinal Systems","April 2008",10133
"181","April","2008","Urostomy Bags","April 2008",193578
"182","April","2008","Vaccines And Antisera","April 2008",19480
"183","April","2008","Vacuum Pumps for Erectile Dysfunction","April 2008",630
"184","April","2008","Vaginal Dilators","April 2008",133
"185","April","2008","Vaginal Moisturisers","April 2008",6238
"186","April","2008","Vehicles and Emulsifying Agents","April 2008",1157501
"187","April","2008","Venous Ulcer Compression System","April 2008",5805
"188","April","2008","Vitamins","April 2008",55398460
"189","April","2008","Waters","April 2008",2104326
"190","April","2008","Wound Management & other Dressings","April 2008",6129205
"191","April","2008","Wound Management Products","April 2008",23140
"192","April","2008","X-Ray Contrast Media","April 2008",400
"193","April","2009","Absorbent Cottons","April 2009",624900
"194","April","2009","Acids","April 2009",972152
"195","April","2009","Acne and Rosacea","April 2009",8987239
"196","April","2009","Acute Diarrhoea","April 2009",8950584
"197","April","2009","Adhesive (Pastes/Sprays/Solutions)","April 2009",2322
"198","April","2009","Adhesive Discs/Rings/Pads/Plasters","April 2009",575760
"199","April","2009","Adhesive Removers (Sprays/Liquids/Wipes)","April 2009",234752
"200","April","2009","Alcohol, Wines & Spirits","April 2009",275
"201","April","2009","Anaemias + Other Blood Disorders","April 2009",44892265
"202","April","2009","Anal Irrigation System","April 2009",1804
"203","April","2009","Anal Plugs","April 2009",9622
"204","April","2009","Analgesics","April 2009",460203792
"205","April","2009","Anthelmintics","April 2009",270703
"206","April","2009","Anti-Arrhythmic Drugs","April 2009",4327332
"207","April","2009","Anti-Infective Eye Preparations","April 2009",1868230
"208","April","2009","Anti-Infective Skin Preparations","April 2009",11001336
"209","April","2009","Antibacterial Drugs","April 2009",120069647
"210","April","2009","Anticoagulants And Protamine","April 2009",35714589
"211","April","2009","Antidepressant Drugs","April 2009",122835592
"212","April","2009","Antiepileptics","April 2009",97082107
"213","April","2009","Antifibrinolytic Drugs & Haemostatics","April 2009",1863369
"214","April","2009","Antifungal Drugs","April 2009",4148981
"215","April","2009","Antihist, Hyposensit & Allergic Emergen","April 2009",51817157
"216","April","2009","Antiperspirants","April 2009",398476
"217","April","2009","Antiplatelet Drugs","April 2009",114947800
"218","April","2009","Antiprotozoal Drugs","April 2009",9665608
"219","April","2009","Antisecretory Drugs+Mucosal Protectants","April 2009",114173491
"220","April","2009","Antispasmod.&Other Drgs Alt.Gut Motility","April 2009",23811786
"221","April","2009","Antiviral Drugs","April 2009",2213325
"222","April","2009","Arm Sling/Bandages","April 2009",1380820
"223","April","2009","Aromatic Inhalations","April 2009",179513
"224","April","2009","Bag Closures","April 2009",54270
"225","April","2009","Bag Covers","April 2009",2993
"226","April","2009","Base/Dil/Susp Agents/Stabilisers","April 2009",23135717
"227","April","2009","Belts","April 2009",7494
"228","April","2009","Beta-Adrenoceptor Blocking Drugs","April 2009",92181937
"229","April","2009","Bitters And Tonics","April 2009",46825
"230","April","2009","Bronchodilators","April 2009",22958002
"231","April","2009","Catheter Maintenance Solutions","April 2009",117901
"232","April","2009","Catheter Valves","April 2009",38950
"233","April","2009","Catheters","April 2009",228274
"234","April","2009","Cellulose Wadding BP 1988","April 2009",5500
"235","April","2009","Cervical Collar","April 2009",161
"236","April","2009","Chiropody Appliances","April 2009",11174
"237","April","2009","Chronic Bowel Disorders","April 2009",21611583
"238","April","2009","CNS Stimulants and drugs used for ADHD","April 2009",3336352
"239","April","2009","Colostomy Bags","April 2009",1990617
"240","April","2009","Colostomy Sets","April 2009",13
"241","April","2009","Colouring,Flavouring & Sweetening Agents","April 2009",520
"242","April","2009","Compound Vit/Mineral Formulations","April 2009",1233750
"243","April","2009","Contraceptive Devices","April 2009",1318
"244","April","2009","Contraceptives","April 2009",58137741
"245","April","2009","Cordials/Soft Drinks","April 2009",3652510
"246","April","2009","Corti'roids & Other Anti-Inflamm.Preps.","April 2009",3172323
"247","April","2009","Corticosteroids (Endocrine)","April 2009",27138926
"248","April","2009","Corticosteroids (Respiratory)","April 2009",2190103
"249","April","2009","Cough Preparations","April 2009",20516128
"250","April","2009","Cromoglycate,Rel,Leukotriene Antagonists","April 2009",3374730
"251","April","2009","Cycloidal Vibration Accessories","April 2009",468
"252","April","2009","Cytotoxic Drugs","April 2009",619026
"253","April","2009","Deodorants","April 2009",70233
"254","April","2009","Discharge Solidifying Agents","April 2009",231341
"255","April","2009","Disinfectants,Preserv&Sterilising Agents","April 2009",1424
"256","April","2009","Diuretics","April 2009",111067584
"257","April","2009","Drainable Dribbling Appliances","April 2009",1
"258","April","2009","Drugs Acting On The Ear","April 2009",985496
"259","April","2009","Drugs Acting On The Nose","April 2009",2011045
"260","April","2009","Drugs Acting On The Oropharynx","April 2009",31130695
"261","April","2009","Drugs Affecting Bone Metabolism","April 2009",3972643
"262","April","2009","Drugs Affecting Intestinal Secretions","April 2009",6532620
"263","April","2009","Drugs Affecting The Immune Response","April 2009",7675745
"264","April","2009","Drugs for Dementia","April 2009",2856465
"265","April","2009","Drugs For Genito-Urinary Disorders","April 2009",24980817
"266","April","2009","Drugs Used In Diabetes","April 2009",188914890
"267","April","2009","Drugs Used In Nausea And Vertigo","April 2009",37412594
"268","April","2009","Drugs Used In Neuromuscular  Disorders","April 2009",13535550
"269","April","2009","Drugs Used In Obstetrics","April 2009",54
"270","April","2009","Drugs Used In Park'ism/Related Disorders","April 2009",20597616
"271","April","2009","Drugs Used In Psychoses & Rel.Disorders","April 2009",30635480
"272","April","2009","Drugs Used In Rheumatic Diseases & Gout","April 2009",106303302
"273","April","2009","Drugs Used In Substance Dependence","April 2009",166397858
"274","April","2009","Drugs used in the Treatment of Obesity","April 2009",7535889
"275","April","2009","Dry Mouth Products","April 2009",132870
"276","April","2009","Dyspep&Gastro-Oesophageal Reflux Disease","April 2009",162836774
"277","April","2009","Elastic Hosiery","April 2009",152577
"278","April","2009","Emollient & Barrier Preparations","April 2009",555734450
"279","April","2009","Emollients","April 2009",28005750
"280","April","2009","Eye Products","April 2009",55301
"281","April","2009","Faecal Collectors","April 2009",350
"282","April","2009","Filters/Bridges","April 2009",28387
"283","April","2009","Flanges","April 2009",285
"284","April","2009","Fluids And Electrolytes","April 2009",6449866
"285","April","2009","Foam","April 2009",42
"286","April","2009","Foods","April 2009",47207420
"287","April","2009","Gauzes & Gauze Tissue","April 2009",3450551
"288","April","2009","General Anaesthesia","April 2009",86120
"289","April","2009","Health Supplements","April 2009",344073
"290","April","2009","Hypertension and Heart Failure","April 2009",187428629
"291","April","2009","Hypnotics And Anxiolytics","April 2009",43594939
"292","April","2009","Hypothalamic&Pituitary Hormones&Antioest","April 2009",834407
"293","April","2009","Ileostomy Bags","April 2009",1108953
"294","April","2009","Ileostomy Sets","April 2009",19
"295","April","2009","Immunoglobulins","April 2009",489
"296","April","2009","Incontinence Sheath Fixing Strips & Adh","April 2009",23649
"297","April","2009","Incontinence Sheaths","April 2009",507063
