"","month","year","id","NIC"
"1","April","2008","April 2008",41582.883350446
"2","April","2009","April 2009",41264.9364551619
"3","April","2010","April 2010",41511.5180681246
"4","April","2011","April 2011",38437.6803609487
"5","April","2012","April 2012",36715.0955584686
"6","April","2013","April 2013",36607.3262147571
"7","April","2014","April 2014",34656.8819815008
"8","April","2015","April 2015",35748.8887182544
"9","April","2016","April 2016",35515.9779622017
"10","April","2017","April 2017",31963.608279938
"11","April","2018","April 2018",31532.5416668319
"12","April","2019","April 2019",32467.0040629024
"13","April","2020","April 2020",36422.6379156735
"14","August","2008","August 2008",40757.9251572901
"15","August","2009","August 2009",39199.0640982732
"16","August","2010","August 2010",39814.8449682127
"17","August","2011","August 2011",40253.6619482221
"18","August","2012","August 2012",37560.2725434823
"19","August","2013","August 2013",36108.9476341623
"20","August","2014","August 2014",34390.0049115459
"21","August","2015","August 2015",34170.2177964295
"22","August","2016","August 2016",33993.2867824008
"23","August","2017","August 2017",34220.5554269406
"24","August","2018","August 2018",32957.8136941067
"25","August","2019","August 2019",35453.0399033631
"26","August","2020","August 2020",34190.1851708523
"27","December","2008","December 2008",45157.6422785843
"28","December","2011","December 2011",40433.3012314447
"29","December","2013","December 2013",36849.2095577119
"30","December","2014","December 2014",38236.6827847707
"31","December","2015","December 2015",38666.7494776611
"32","December","2016","December 2016",36191.7543569908
"33","December","2017","December 2017",33577.1041802078
"34","December","2018","December 2018",32971.1022621623
"35","December","2019","December 2019",34615.2858682483
"36","December","2020","December 2020",38527.1294732418
"37","ec","0100","ec20100",42328.8916596371
"38","ep","0180","ep20180",31258.5833660449
"39","February","2008","February 2008",39399.8056747892
"40","February","2009","February 2009",39460.9202220539
"41","February","2010","February 2010",37941.8350184419
"42","February","2011","February 2011",37736.668398344
"43","February","2012","February 2012",37240.6103790017
"44","February","2013","February 2013",33397.0426049893
"45","February","2015","February 2015",33490.297409703
"46","February","2016","February 2016",33862.3525824697
"47","February","2017","February 2017",31654.9694873488
"48","February","2018","February 2018",30221.8440846441
"49","February","2019","February 2019",30620.9773216497
"50","February","2020","February 2020",32690.0545997855
"51","February","2021","February 2021",34556.8323545046
"52","January","2009","January 2009",42102.0167063511
"53","January","2010","January 2010",39871.1794063142
"54","January","2011","January 2011",38902.3724205396
"55","January","2013","January 2013",36614.6888809936
"56","January","2014","January 2014",36870.1878229075
"57","January","2015","January 2015",35964.2132310373
"58","January","2016","January 2016",34011.4024124951
"59","January","2017","January 2017",34035.8641101921
"60","January","2018","January 2018",33619.5112728058
"61","January","2019","January 2019",33633.8195149158
"62","January","2020","January 2020",35175.5994548285
"63","January","2021","January 2021",36737.7420927688
