"","month","year","BNFSectionName","id","NIC"
"1","April","2008","Absorbent Cottons","April 2008",8361.72992706299
"2","April","2008","Acids","April 2008",12217.7797391713
"3","April","2008","Acne and Rosacea","April 2008",1897079.44474435
"4","April","2008","Acute Diarrhoea","April 2008",282923.099159002
"5","April","2008","Adhesive (Pastes/Sprays/Solutions)","April 2008",8504.68977928162
"6","April","2008","Adhesive Discs/Rings/Pads/Plasters","April 2008",195933.499155164
"7","April","2008","Adhesive Removers (Sprays/Liquids/Wipes)","April 2008",369088.950080872
"8","April","2008","Alcohol, Wines & Spirits","April 2008",124.749997258186
"9","April","2008","Anaemias + Other Blood Disorders","April 2008",4776929.01276138
"10","April","2008","Anal Irrigation System","April 2008",107007.5
"11","April","2008","Anal Plugs","April 2008",22199.1904296875
"12","April","2008","Analgesics","April 2008",33041840.8494887
"13","April","2008","Anthelmintics","April 2008",29161.1290227175
"14","April","2008","Anti-Arrhythmic Drugs","April 2008",912015.87612915
"15","April","2008","Anti-Infective Eye Preparations","April 2008",487538.327353269
"16","April","2008","Anti-Infective Skin Preparations","April 2008",2076195.77072573
"17","April","2008","Antibacterial Drugs","April 2008",12716944.3315558
"18","April","2008","Anticoagulants And Protamine","April 2008",2293267.34612438
"19","April","2008","Antidepressant Drugs","April 2008",19764866.3839237
"20","April","2008","Antiepileptics","April 2008",22052393.6038716
"21","April","2008","Antifibrinolytic Drugs & Haemostatics","April 2008",256790.136108398
"22","April","2008","Antifungal Drugs","April 2008",1320205.79470468
"23","April","2008","Antihist, Hyposensit & Allergic Emergen","April 2008",3315316.68732989
"24","April","2008","Antiperspirants","April 2008",21596.0101010799
"25","April","2008","Antiplatelet Drugs","April 2008",14043125.5394502
"26","April","2008","Antiprotozoal Drugs","April 2008",703737.92917037
"27","April","2008","Antisecretory Drugs+Mucosal Protectants","April 2008",17503953.9120235
"28","April","2008","Antispasmod.&Other Drgs Alt.Gut Motility","April 2008",2611947.37189484
"29","April","2008","Antiviral Drugs","April 2008",1514891.79818535
"30","April","2008","Arm Sling/Bandages","April 2008",1739206.87203777
"31","April","2008","Aromatic Inhalations","April 2008",1717.92994117737
"32","April","2008","Bag Closures","April 2008",13396.7502307892
"33","April","2008","Bag Covers","April 2008",25993.4800696373
"34","April","2008","Base/Dil/Susp Agents/Stabilisers","April 2008",406063.149621487
"35","April","2008","Belts","April 2008",126978.459299088
"36","April","2008","Beta-Adrenoceptor Blocking Drugs","April 2008",6314163.35570621
"37","April","2008","Bitters And Tonics","April 2008",2379.72988772392
"38","April","2008","Bronchodilators","April 2008",21705187.229887
"39","April","2008","Catheter Maintenance Solutions","April 2008",421061.859985352
"40","April","2008","Catheter Valves","April 2008",100262.622882843
"41","April","2008","Catheters","April 2008",5360926.56124389
"42","April","2008","Cellulose Wadding BP 1988","April 2008",74.8000030517578
"43","April","2008","Cervical Collar","April 2008",498.900005340576
"44","April","2008","Chiropody Appliances","April 2008",7090.48986816406
"45","April","2008","Chronic Bowel Disorders","April 2008",6423296.44058895
"46","April","2008","CNS Stimulants and drugs used for ADHD","April 2008",2881441.47624111
"47","April","2008","Colostomy Bags","April 2008",5100634.12409449
"48","April","2008","Colostomy Sets","April 2008",10623.150188446
"49","April","2008","Colouring,Flavouring & Sweetening Agents","April 2008",115.040001869202
"50","April","2008","Compound Vit/Mineral Formulations","April 2008",124108.730078101
"51","April","2008","Contact Lenses","April 2008",6.08999991416931
"52","April","2008","Contraceptive Devices","April 2008",16039.2599220276
"53","April","2008","Contraceptives","April 2008",5920304.36325002
"54","April","2008","Cordials/Soft Drinks","April 2008",16562.9498443604
"55","April","2008","Corti'roids & Other Anti-Inflamm.Preps.","April 2008",839142.521846294
"56","April","2008","Corticosteroids (Endocrine)","April 2008",2472481.41852355
"57","April","2008","Corticosteroids (Respiratory)","April 2008",45076350.8385825
"58","April","2008","Cough Preparations","April 2008",82686.9693484306
"59","April","2008","Cromoglycate,Rel,Leukotriene Antagonists","April 2008",2749203.24467468
"60","April","2008","Cytotoxic Drugs","April 2008",1078613.13323021
"61","April","2008","Deodorants","April 2008",121842.019598007
"62","April","2008","Discharge Solidifying Agents","April 2008",81443.7508544922
"63","April","2008","Disinfectants,Preserv&Sterilising Agents","April 2008",128.309996653348
"64","April","2008","Diuretics","April 2008",3263412.33559394
"65","April","2008","Drugs Acting On The Ear","April 2008",621595.807059452
"66","April","2008","Drugs Acting On The Nose","April 2008",4316437.89689445
"67","April","2008","Drugs Acting On The Oropharynx","April 2008",678563.311128676
"68","April","2008","Drugs Affecting Bone Metabolism","April 2008",7218460.91904831
"69","April","2008","Drugs Affecting Intestinal Secretions","April 2008",1748156.73641586
"70","April","2008","Drugs Affecting The Immune Response","April 2008",7507952.98002052
"71","April","2008","Drugs for Dementia","April 2008",6213792.38318634
"72","April","2008","Drugs For Genito-Urinary Disorders","April 2008",14830913.2106235
"73","April","2008","Drugs Used In Diabetes","April 2008",46136315.2633193
"74","April","2008","Drugs Used In Nausea And Vertigo","April 2008",2573134.73868179
"75","April","2008","Drugs Used In Neuromuscular  Disorders","April 2008",926998.88591516
"76","April","2008","Drugs Used In Obstetrics","April 2008",105.83000254631
"77","April","2008","Drugs Used In Park'ism/Related Disorders","April 2008",8808857.64658508
"78","April","2008","Drugs Used In Psychoses & Rel.Disorders","April 2008",23127433.5182884
"79","April","2008","Drugs Used In Rheumatic Diseases & Gout","April 2008",11468437.4384367
"80","April","2008","Drugs Used In Substance Dependence","April 2008",9601403.7842598
"81","April","2008","Drugs used in the Treatment of Obesity","April 2008",3557876.84375
"82","April","2008","Dry Mouth Products","April 2008",4609.35998535156
"83","April","2008","Dyspep&Gastro-Oesophageal Reflux Disease","April 2008",1926931.04965687
"84","April","2008","Elastic Hosiery","April 2008",807401.614843369
"85","April","2008","Electrode/Ultrasonic Gels","April 2008",5.84999990463257
"86","April","2008","Emollient & Barrier Preparations","April 2008",6251599.56466603
"87","April","2008","Emollients","April 2008",354220.988311768
"88","April","2008","Eye Products","April 2008",141.879999637604
"89","April","2008","Faecal Collectors","April 2008",1077.5
"90","April","2008","Filters/Bridges","April 2008",11088.7196750641
"91","April","2008","Flanges","April 2008",10535.9800391197
"92","April","2008","Fluids And Electrolytes","April 2008",986924.793509841
"93","April","2008","Foam","April 2008",477
"94","April","2008","Foods","April 2008",409751.115647316
"95","April","2008","Gauzes & Gauze Tissue","April 2008",113844.418922424
"96","April","2008","General Anaesthesia","April 2008",114199.721916199
"97","April","2008","Health Supplements","April 2008",85652.300915122
"98","April","2008","Hypertension and Heart Failure","April 2008",35010587.9725016
"99","April","2008","Hypnotics And Anxiolytics","April 2008",5145553.89224279
"100","April","2008","Hypothalamic&Pituitary Hormones&Antioest","April 2008",4123634.01362705
"101","April","2008","Ileostomy Bags","April 2008",3295478.89587474
"102","April","2008","Ileostomy Sets","April 2008",406.320007324219
"103","April","2008","Immunoglobulins","April 2008",209966.290783882
"104","April","2008","Incontinence Belts","April 2008",11.8400001525879
"105","April","2008","Incontinence Sheath Fixing Strips & Adh","April 2008",20884.6699829102
"106","April","2008","Incontinence Sheaths","April 2008",853561.416751385
"107","April","2008","Intravenous Nutrition","April 2008",4.59000015258789
"108","April","2008","Irrigation Solutions","April 2008",299876.019602776
"109","April","2008","Irrigation Washout Appliances","April 2008",51906.5601673126
"110","April","2008","Laxatives","April 2008",4852508.47040445
"111","April","2008","Leg Bags","April 2008",1552484.75591278
"112","April","2008","Leg Ulcer Wrap","April 2008",441.60000038147
"113","April","2008","Lints","April 2008",2207.97001647949
"114","April","2008","Lipid-Regulating Drugs","April 2008",43145217.5647392
"115","April","2008","Local Anaesthesia","April 2008",341483.184002161
"116","April","2008","Local Anaesthetics","April 2008",372.849988937378
"117","April","2008","Local Prepn for Anal & Rectal Disorders","April 2008",1027510.38600612
"118","April","2008","Local Sclerosants","April 2008",126.739999771118
"119","April","2008","Lubricant Gels","April 2008",30302.6198501587
"120","April","2008","Lymphoedema Garments","April 2008",100127.719936371
"121","April","2008","Metabolic Disorders","April 2008",838337.832300186
"122","April","2008","Minerals","April 2008",1558809.80235654
"123","April","2008","Miscellaneous Ophthalmic Preparations","April 2008",2178438.08479667
"124","April","2008","Miscellaneous Topical Preparations","April 2008",6666.28001403809
"125","April","2008","Mucolytics","April 2008",1395760.57066345
"126","April","2008","Mydriatics And Cycloplegics","April 2008",17189.7698626518
"127","April","2008","Nasal Products","April 2008",19914.3405151367
"128","April","2008","Night Drainage Bags","April 2008",754053.4071064
"129","April","2008","Nit,Calc Block & Other Antianginal Drugs","April 2008",19176507.3703762
"130","April","2008","Oral Film Forming Agents","April 2008",18519.3790588379
"131","April","2008","Oral Nutrition","April 2008",19330147.732059
"132","April","2008","Other Appliances","April 2008",3607354.53569448
"133","April","2008","Other Endocrine Drugs","April 2008",316312.591014862
"134","April","2008","Other Health Supplements","April 2008",1205381.09830719
"135","April","2008","Other Preparations","April 2008",8963.84996318817
"136","April","2008","Oxygen","April 2008",777.959983825684
"137","April","2008","Oxygen Masks","April 2008",58.7299991846085
"138","April","2008","Peak Flow Meters","April 2008",118110.418159366
"139","April","2008","Plantar Pressure Offloading Device","April 2008",15133.2998046875
"140","April","2008","Plasters","April 2008",3256.92004394531
"141","April","2008","Positive Inotropic Drugs","April 2008",574288.791168213
"142","April","2008","Preparations For Eczema And Psoriasis","April 2008",3659325.68867922
"143","April","2008","Preparations For Warts And Calluses","April 2008",223660.178719759
"144","April","2008","Pressure Plates/Shields","April 2008",3607.95996403694
"145","April","2008","Selective Preparations","April 2008",4959726.81603742
