"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","N/A","344,500","416,163","N/A","N/A","Region"
"2","Europe","Europe","N/A","600,000","1,111,201","0","N/A","Region"
"3","Middle East and North Africa","Middle East and North Africa","N/A","276,400","796,362","N/A","N/A","Region"
"4","North America and Caribbean","North America and Caribbean","N/A","280,800","930,692","N/A","N/A","Region"
"5","South and Central America","South and Central America","N/A","227,200","410,206","0","N/A","Region"
"6","South-East Asia","South-East Asia","N/A","1,156,000","747,367","N/A","N/A","Region"
"7","Western Pacific","Western Pacific","N/A","1,708,300","2,281,732","N/A","N/A","Region"
"8","Middle East and North Africa","Afghanistan","-","15,568","31,743","-","-","Country"
"9","Europe","Albania","-","854","4,248","-","-","Country"
"10","Middle East and North Africa","Algeria","-","9,395","21,749","-","-","Country"
"11","Western Pacific","American Samoa","-","-","-","-","-","Country"
"12","Europe","Andorra","-","34","-","-","-","Country"
"13","Africa","Angola","-","2,384","11,173","-","-","Country"
"14","North America and Caribbean","Anguilla","-","2,384","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","93","147","-","-","Country"
"16","South and Central America","Argentina","-","15,049","26,944","-","-","Country"
"17","Europe","Armenia","-","2,150","2,392","-","-","Country"
"18","North America and Caribbean","Aruba","-","-","-","-","-","Country"
"19","Western Pacific","Australia","2,755","7,325","23,226","-","-","Country"
"20","Europe","Austria","-","4,322","12,021","-","-","Country"
"21","Europe","Azerbaijan","-","2,735","7,577","-","-","Country"
"22","North America and Caribbean","Bahamas","-","292","470","-","-","Country"
"23","Middle East and North Africa","Bahrain","-","545","536","-","-","Country"
"24","South-East Asia","Bangladesh","-","144,443","75,617","-","-","Country"
"25","North America and Caribbean","Barbados","-","263","1,008","-","-","Country"
"26","Europe","Belarus","-","10,045","11,242","-","-","Country"
"27","Europe","Belgium","-","4,331","10,714","-","-","Country"
"28","North America and Caribbean","Belize","-","276","441","-","-","Country"
"29","Africa","Benin","-","1,001","927","-","-","Country"
"30","North America and Caribbean","Bermuda","-","-","-","-","-","Country"
"31","South-East Asia","Bhutan","-","120","379","-","-","Country"
"32","South and Central America","Bolivia (Plurinational State of)","-","4,431","7,517","-","-","Country"
"33","Europe","Bosnia and Herzegovina","-","2,535","5,113","-","-","Country"
"34","Africa","Botswana","-","1,252","2,044","-","-","Country"
"35","South and Central America","Brazil","-","121,082","214,175","-","-","Country"
"36","North America and Caribbean","British Virgin Islands","-","-","-","-","-","Country"
"37","Western Pacific","Brunei Darussalam","-","205","532","-","-","Country"
"38","Europe","Bulgaria","-","8,205","10,521","-","-","Country"
"39","Africa","Burkina Faso","-","3,231","2,813","-","-","Country"
"40","Africa","Burundi","-","1,860","3,925","-","-","Country"
"41","Africa","Cabo Verde","-","112","70","-","-","Country"
"42","Western Pacific","Cambodia","-","4,895","8,772","-","-","Country"
"43","Africa","Cameroon","-","10,829","12,614","-","-","Country"
"44","North America and Caribbean","Canada","-","17,638","53,046","-","-","Country"
"45","North America and Caribbean","Cayman Islands","-","-","-","-","-","Country"
"46","Africa","Central African Republic","-","1,267","3,655","-","-","Country"
"47","Africa","Chad","-","6,059","5,247","-","-","Country"
"48","Europe","Channel Islands","-","-","-","-","-","Country"
"49","South and Central America","Chile","-","7,927","18,591","-","-","Country"
"50","Western Pacific","China","-","1,133,918","1,396,662","-","-","Country"
"51","Western Pacific","China, Hong Kong SAR","-","-","-","-","-","Country"
"52","Western Pacific","China, Macao SAR","-","-","-","-","-","Country"
"53","South and Central America","Colombia","-","19,572","35,562","-","-","Country"
"54","Africa","Comoros","-","174","440","-","-","Country"
"55","Africa","Congo","-","1,424","3,104","-","-","Country"
"56","Western Pacific","Cook Islands","-","5","-","-","-","Country"
"57","South and Central America","Costa Rica","-","1,707","3,663","-","-","Country"
