"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"CDID","YBHA"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","11-11-2021"
"Next release","22 December 2021"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"1948","11425"
"1949","12168"
"1950","12737"
"1951","14298"
"1952","15528"
"1953","16675"
"1954","17589"
"1955","19160"
"1956","20832"
"1957","22093"
"1958","23210"
"1959","24378"
"1960","26189"
"1961","27905"
"1962","29224"
"1963","31090"
"1964","34038"
"1965","36818"
"1966","39383"
"1967","41666"
"1968","45786"
"1969","49754"
"1970","56020"
"1971","62841"
"1972","70502"
"1973","81687"
"1974","92534"
"1975","114936"
"1976","136800"
"1977","159524"
"1978","185837"
"1979","220586"
"1980","259499"
"1981","289653"
"1982","318999"
"1983","350813"
"1984","377386"
"1985","414161"
"1986","446361"
"1987","496226"
"1988","555980"
"1989","615125"
"1990","669873"
"1991","706821"
"1992","732295"
"1993","771414"
"1994","812289"
"1995","853228"
"1996","911191"
"1997","952585"
"1998","998318"
"1999","1041970"
"2000","1098500"
"2001","1142023"
"2002","1190336"
"2003","1259970"
"2004","1322795"
"2005","1399656"
"2006","1476722"
"2007","1552470"
"2008","1598752"
"2009","1557120"
"2010","1612195"
"2011","1669509"
"2012","1721355"
"2013","1793155"
"2014","1876162"
"2015","1935212"
"2016","2016638"
"2017","2097143"
"2018","2174380"
"2019","2255283"
"2020","2156073"
"1955 Q1","4664"
"1955 Q2","4687"
"1955 Q3","4860"
"1955 Q4","4949"
"1956 Q1","5083"
"1956 Q2","5152"
"1956 Q3","5233"
"1956 Q4","5364"
"1957 Q1","5376"
"1957 Q2","5458"
"1957 Q3","5575"
"1957 Q4","5684"
"1958 Q1","5797"
"1958 Q2","5722"
"1958 Q3","5822"
"1958 Q4","5869"
"1959 Q1","5883"
"1959 Q2","6078"
"1959 Q3","6100"
"1959 Q4","6317"
"1960 Q1","6421"
"1960 Q2","6482"
"1960 Q3","6576"
"1960 Q4","6710"
