,Date,Jackpot(£)
0,01Jan2022,4201355
1,29Dec2021,2000000
2,25Dec2021,15000000
3,22Dec2021,5472566
4,18Dec2021,4082078
5,15Dec2021,2000000
6,11Dec2021,11704275
7,08Dec2021,9035615
8,04Dec2021,7547238
9,01Dec2021,5364290
10,27Nov2021,4015362
11,24Nov2021,2000000
12,20Nov2021,4026102
13,17Nov2021,2000000
14,13Nov2021,4101869
15,10Nov2021,2000000
16,06Nov2021,20000000
17,03Nov2021,2000000
18,30Oct2021,11042269
19,27Oct2021,8714754
20,23Oct2021,7265148
21,20Oct2021,5107865
22,16Oct2021,3800000
23,13Oct2021,2000000
24,09Oct2021,11836281
25,06Oct2021,9052462
26,02Oct2021,7569060
27,29Sep2021,5370436
28,25Sep2021,4048514
29,22Sep2021,2000000
30,18Sep2021,15000000
31,15Sep2021,5383627
32,11Sep2021,4079277
33,08Sep2021,2000000
34,04Sep2021,20000000
35,01Sep2021,9079487
36,28Aug2021,7596828
37,25Aug2021,5419064
38,21Aug2021,4061448
39,18Aug2021,2000000
40,14Aug2021,11165532
41,11Aug2021,8817804
42,07Aug2021,7357979
43,04Aug2021,5158495
44,31Jul2021,3800000
45,28Jul2021,5162779
46,24Jul2021,3800000
47,21Jul2021,2000000
48,17Jul2021,20000000
49,14Jul2021,5143792
50,10Jul2021,3800000
