seriesname,year,valueaddedGDP
"Agriculture, forestry, and fishing, value added (% of GDP)",2000,0.850705507510241
"Agriculture, forestry, and fishing, value added (% of GDP)",2001,0.782120850455726
"Agriculture, forestry, and fishing, value added (% of GDP)",2002,0.916379912898543
"Agriculture, forestry, and fishing, value added (% of GDP)",2003,0.873354127479226
"Agriculture, forestry, and fishing, value added (% of GDP)",2004,0.760132900411628
"Agriculture, forestry, and fishing, value added (% of GDP)",2005,0.545491177832267
"Agriculture, forestry, and fishing, value added (% of GDP)",2006,0.596320769921488
"Agriculture, forestry, and fishing, value added (% of GDP)",2007,0.56252294730333
"Agriculture, forestry, and fishing, value added (% of GDP)",2008,0.676340045235283
"Agriculture, forestry, and fishing, value added (% of GDP)",2009,0.68080815865187
"Agriculture, forestry, and fishing, value added (% of GDP)",2010,0.602160408635432
"Agriculture, forestry, and fishing, value added (% of GDP)",2011,0.690202927926714
"Agriculture, forestry, and fishing, value added (% of GDP)",2012,0.637404835144407
"Agriculture, forestry, and fishing, value added (% of GDP)",2013,0.637535517007732
"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.746524020846814
"Agriculture, forestry, and fishing, value added (% of GDP)",2015,0.63445245275453
"Agriculture, forestry, and fishing, value added (% of GDP)",2016,0.566834503763194
"Agriculture, forestry, and fishing, value added (% of GDP)",2017,0.593378706173113
"Agriculture, forestry, and fishing, value added (% of GDP)",2018,0.576624141134484
"Agriculture, forestry, and fishing, value added (% of GDP)",2019,0.611985280782944
"Agriculture, forestry, and fishing, value added (% of GDP)",2020,0.583375423744929
"Manufacturing, value added (% of GDP)",2000,13.3401001365498
"Manufacturing, value added (% of GDP)",2001,12.4504497720274
"Manufacturing, value added (% of GDP)",2002,12.1452262218399
"Manufacturing, value added (% of GDP)",2003,11.6067049215458
"Manufacturing, value added (% of GDP)",2004,10.9801594351355
"Manufacturing, value added (% of GDP)",2005,10.5167984133244
"Manufacturing, value added (% of GDP)",2006,10.1954870314115
"Manufacturing, value added (% of GDP)",2007,9.64591908378262
"Manufacturing, value added (% of GDP)",2008,9.50647755249094
"Manufacturing, value added (% of GDP)",2009,9.10681257706535
"Manufacturing, value added (% of GDP)",2010,9.49748634625464
"Manufacturing, value added (% of GDP)",2011,9.33861392780752
"Manufacturing, value added (% of GDP)",2012,9.29488687690802
"Manufacturing, value added (% of GDP)",2013,9.50570363409744
"Manufacturing, value added (% of GDP)",2014,9.32600702924374
"Manufacturing, value added (% of GDP)",2015,9.21335750295058
"Manufacturing, value added (% of GDP)",2016,8.99516918752895
"Manufacturing, value added (% of GDP)",2017,8.94760157032687
"Manufacturing, value added (% of GDP)",2018,8.84698166833764
"Manufacturing, value added (% of GDP)",2019,8.87972817602048
"Manufacturing, value added (% of GDP)",2020,8.67076393053482
"Services, value added (% of GDP)",2000,66.066909421939
"Services, value added (% of GDP)",2001,67.4124776821482
"Services, value added (% of GDP)",2002,67.658459460186
"Services, value added (% of GDP)",2003,68.2563076898656
"Services, value added (% of GDP)",2004,68.8906444309209
"Services, value added (% of GDP)",2005,69.2727355864584
"Services, value added (% of GDP)",2006,69.1949466453402
"Services, value added (% of GDP)",2007,69.725534148808
"Services, value added (% of GDP)",2008,69.8608664758512
"Services, value added (% of GDP)",2009,71.6077758939581
"Services, value added (% of GDP)",2010,70.6144728150131
"Services, value added (% of GDP)",2011,70.1077981610162
"Services, value added (% of GDP)",2012,70.2665051659884
"Services, value added (% of GDP)",2013,69.9085132071684
"Services, value added (% of GDP)",2014,70.1288588085677
"Services, value added (% of GDP)",2015,70.4744493109799
"Services, value added (% of GDP)",2016,71.0521174350578
"Services, value added (% of GDP)",2017,70.8613098868317
"Services, value added (% of GDP)",2018,70.8586355650806
"Services, value added (% of GDP)",2019,70.8564734447961
"Services, value added (% of GDP)",2020,72.7985091413881
