seriesname,year,valueaddedGDP
"Agriculture, forestry, and fishing",1990,1.30591515301142
"Agriculture, forestry, and fishing",1991,1.28107308099499
"Agriculture, forestry, and fishing",1992,1.2705284377464
"Agriculture, forestry, and fishing",1993,1.28182042970947
"Agriculture, forestry, and fishing",1994,1.32510963558581
"Agriculture, forestry, and fishing",1995,1.26296839766159
"Agriculture, forestry, and fishing",1996,1.09845246496069
"Agriculture, forestry, and fishing",1997,0.969677246649905
"Agriculture, forestry, and fishing",1998,0.965524011387153
"Agriculture, forestry, and fishing",1999,0.876608731537376
"Agriculture, forestry, and fishing",2000,0.850705507510241
"Agriculture, forestry, and fishing",2001,0.782120850455726
"Agriculture, forestry, and fishing",2002,0.916379912898543
"Agriculture, forestry, and fishing",2003,0.873354127479226
"Agriculture, forestry, and fishing",2004,0.760132900411628
"Agriculture, forestry, and fishing",2005,0.545491177832267
"Agriculture, forestry, and fishing",2006,0.596320769921488
"Agriculture, forestry, and fishing",2007,0.56252294730333
"Agriculture, forestry, and fishing",2008,0.676340045235283
"Agriculture, forestry, and fishing",2009,0.68080815865187
"Agriculture, forestry, and fishing",2010,0.602160408635432
"Agriculture, forestry, and fishing",2011,0.690202927926714
"Agriculture, forestry, and fishing",2012,0.637404835144407
"Agriculture, forestry, and fishing",2013,0.637535517007732
"Agriculture, forestry, and fishing",2014,0.746524020846814
"Agriculture, forestry, and fishing",2015,0.63445245275453
"Agriculture, forestry, and fishing",2016,0.566834503763194
"Agriculture, forestry, and fishing",2017,0.593378706173113
"Agriculture, forestry, and fishing",2018,0.576624141134484
"Agriculture, forestry, and fishing",2019,0.611985280782944
"Agriculture, forestry, and fishing",2020,0.583375423744929
Manufacturing,1990,16.6679875518335
Manufacturing,1991,16.2639351447452
Manufacturing,1992,16.0460325512891
Manufacturing,1993,15.6818575905637
Manufacturing,1994,16.4038081256475
Manufacturing,1995,15.4820282503622
Manufacturing,1996,15.2616740068767
Manufacturing,1997,15.0588136491757
Manufacturing,1998,14.44569766347
Manufacturing,1999,13.8490551551388
Manufacturing,2000,13.3401001365498
Manufacturing,2001,12.4504497720274
Manufacturing,2002,12.1452262218399
Manufacturing,2003,11.6067049215458
Manufacturing,2004,10.9801594351355
Manufacturing,2005,10.5167984133244
Manufacturing,2006,10.1954870314115
Manufacturing,2007,9.64591908378262
Manufacturing,2008,9.50647755249094
Manufacturing,2009,9.10681257706535
Manufacturing,2010,9.49748634625464
Manufacturing,2011,9.33861392780752
Manufacturing,2012,9.29488687690802
Manufacturing,2013,9.50570363409744
Manufacturing,2014,9.32600702924374
Manufacturing,2015,9.21335750295058
Manufacturing,2016,8.99516918752895
Manufacturing,2017,8.94760157032687
Manufacturing,2018,8.84698166833764
Manufacturing,2019,8.87972817602048
Manufacturing,2020,8.67076393053482
Services,1990,68.3808872567093
Services,1991,68.5829497226706
Services,1992,69.5351253403157
Services,1993,70.4308179344217
Services,1994,70.4254628312551
Services,1995,64.873046829218
Services,1996,65.0810861828091
Services,1997,65.6335130198355
Services,1998,66.0663235562216
Services,1999,66.1277196080501
Services,2000,66.066909421939
Services,2001,67.4124776821482
Services,2002,67.658459460186
Services,2003,68.2563076898656
Services,2004,68.8906444309209
Services,2005,69.2727355864584
Services,2006,69.1949466453402
Services,2007,69.725534148808
Services,2008,69.8608664758512
Services,2009,71.6077758939581
Services,2010,70.6144728150131
Services,2011,70.1077981610162
Services,2012,70.2665051659884
Services,2013,69.9085132071684
Services,2014,70.1288588085677
Services,2015,70.4744493109799
Services,2016,71.0521174350578
Services,2017,70.8613098868317
Services,2018,70.8586355650806
Services,2019,70.8564734447961
Services,2020,72.7985091413881
