,areaType,areaCode,areaName,date,newCasesByPublishDate
0,overview,K02000001,United Kingdom,2022-01-07,178250
1,overview,K02000001,United Kingdom,2022-01-06,179756
2,overview,K02000001,United Kingdom,2022-01-05,194747
3,overview,K02000001,United Kingdom,2022-01-04,218724
4,overview,K02000001,United Kingdom,2022-01-03,157758
5,overview,K02000001,United Kingdom,2022-01-02,151663
6,overview,K02000001,United Kingdom,2022-01-01,179637
7,overview,K02000001,United Kingdom,2021-12-31,189846
8,overview,K02000001,United Kingdom,2021-12-30,189213
9,overview,K02000001,United Kingdom,2021-12-29,183037
10,overview,K02000001,United Kingdom,2021-12-28,138831
11,overview,K02000001,United Kingdom,2021-12-27,109077
12,overview,K02000001,United Kingdom,2021-12-26,119923
13,overview,K02000001,United Kingdom,2021-12-25,121880
14,overview,K02000001,United Kingdom,2021-12-24,122186
15,overview,K02000001,United Kingdom,2021-12-23,119789
16,overview,K02000001,United Kingdom,2021-12-22,109655
17,overview,K02000001,United Kingdom,2021-12-21,90629
18,overview,K02000001,United Kingdom,2021-12-20,91743
19,overview,K02000001,United Kingdom,2021-12-19,82886
20,overview,K02000001,United Kingdom,2021-12-18,90418
21,overview,K02000001,United Kingdom,2021-12-17,93045
22,overview,K02000001,United Kingdom,2021-12-16,88376
23,overview,K02000001,United Kingdom,2021-12-15,78610
24,overview,K02000001,United Kingdom,2021-12-14,59610
25,overview,K02000001,United Kingdom,2021-12-13,54661
26,overview,K02000001,United Kingdom,2021-12-12,48854
27,overview,K02000001,United Kingdom,2021-12-11,54073
28,overview,K02000001,United Kingdom,2021-12-10,58194
29,overview,K02000001,United Kingdom,2021-12-09,50867
30,overview,K02000001,United Kingdom,2021-12-08,51342
31,overview,K02000001,United Kingdom,2021-12-07,45691
32,overview,K02000001,United Kingdom,2021-12-06,51459
33,overview,K02000001,United Kingdom,2021-12-05,43992
34,overview,K02000001,United Kingdom,2021-12-04,42848
35,overview,K02000001,United Kingdom,2021-12-03,50584
36,overview,K02000001,United Kingdom,2021-12-02,53945
37,overview,K02000001,United Kingdom,2021-12-01,48374
38,overview,K02000001,United Kingdom,2021-11-30,39716
39,overview,K02000001,United Kingdom,2021-11-29,42583
40,overview,K02000001,United Kingdom,2021-11-28,37681
41,overview,K02000001,United Kingdom,2021-11-27,39567
42,overview,K02000001,United Kingdom,2021-11-26,50091
43,overview,K02000001,United Kingdom,2021-11-25,47240
44,overview,K02000001,United Kingdom,2021-11-24,43676
45,overview,K02000001,United Kingdom,2021-11-23,42484
46,overview,K02000001,United Kingdom,2021-11-22,44917
47,overview,K02000001,United Kingdom,2021-11-21,40004
48,overview,K02000001,United Kingdom,2021-11-20,40941
49,overview,K02000001,United Kingdom,2021-11-19,44242
50,overview,K02000001,United Kingdom,2021-11-18,46807
51,overview,K02000001,United Kingdom,2021-11-17,38263
52,overview,K02000001,United Kingdom,2021-11-16,37243
53,overview,K02000001,United Kingdom,2021-11-15,39705
54,overview,K02000001,United Kingdom,2021-11-14,36517
55,overview,K02000001,United Kingdom,2021-11-13,38351
56,overview,K02000001,United Kingdom,2021-11-12,40375
57,overview,K02000001,United Kingdom,2021-11-11,42408
58,overview,K02000001,United Kingdom,2021-11-10,39329
59,overview,K02000001,United Kingdom,2021-11-09,33117
60,overview,K02000001,United Kingdom,2021-11-08,32322
61,overview,K02000001,United Kingdom,2021-11-07,30305
62,overview,K02000001,United Kingdom,2021-11-06,30693
63,overview,K02000001,United Kingdom,2021-11-05,34029
