v,vw,o,c,h,l,t,n
3171,46.2706,46.18,46.6597,46.6597,46.14,1612155600000,51
1028,47.1202,47.11,47.3929,47.3929,47.11,1612242000000,37
1289,47.9231,47.9,47.8825,47.99,47.8825,1612328400000,22
6688,47.8478,47.49,48.03,48.03,47.49,1612414800000,282
279,48.6719,48.665,48.7626,48.7626,48.665,1612501200000,14
3538,50.5342,50.59,50.45,50.59,50.45,1612760400000,41
4802,51.0348,50.98,51.04,51.22,50.94,1612846800000,70
2345,50.9238,51.24,50.7997,51.24,50.64,1612933200000,33
3015,51.258,51.2596,51.3101,51.36,51.06,1613019600000,71
1838,51.8143,51.57,51.969,51.969,51.57,1613106000000,72
7373,52.9219,53.29,52.4596,53.29,52.43,1613451600000,120
8404,52.0906,52.13,52.2753,52.51,51.815,1613538000000,114
3250,50.7002,50.76,51.0771,51.0771,50.4,1613624400000,42
2213,51.6646,51.505,51.6556,51.76,51.505,1613710800000,72
8456,51.6063,51.67,51.48,52.0,51.1326,1613970000000,371
4512,50.8963,50.56,51.2547,51.2547,50.56,1614056400000,119
7840,49.8456,49.4,50.407,50.5,49.38,1614142800000,136
7212,49.4275,50.14,48.68,50.33,48.45,1614229200000,171
9698,47.5325,47.93,47.3033,47.93,47.0,1614315600000,227
6381,48.4928,48.56,48.7409,48.84,48.13,1614574800000,141
3745,47.9133,47.89,47.7571,47.99,47.7571,1614661200000,93
116,47.4489,47.397,47.397,47.397,47.397,1614747600000,15
947,46.3793,46.59,46.2219,46.59,46.2219,1614834000000,60
3181,46.5804,46.3,47.0386,47.0386,46.3,1614920400000,57
1702,46.2926,45.78,46.0,46.48,45.78,1615179600000,27
3132,46.8899,46.6,47.02,47.28,46.58,1615266000000,54
592,47.2239,47.205,47.4068,47.4068,47.1,1615352400000,26
903,47.234,47.23,46.8469,47.23,46.82,1615438800000,32
646,47.8104,47.82,48.0942,48.0942,47.82,1615525200000,16
9079,48.2887,48.05,48.6386,48.64,47.98,1615780800000,93
2845,49.0764,49.03,48.9846,49.16,48.97,1615867200000,53
2526,48.9054,48.8504,49.5529,49.5529,48.85,1615953600000,25
725,50.325,50.198,49.9858,50.595,49.9858,1616040000000,22
1172,50.274,49.71,50.61,50.61,49.71,1616126400000,27
398,49.7114,49.7,49.811,49.811,49.7,1616385600000,13
1683,48.6615,48.755,48.3733,48.755,48.3733,1616472000000,29
444,47.6132,47.5145,47.3908,47.5145,47.3908,1616558400000,30
3012,47.8054,47.65,48.3751,48.43,47.65,1616644800000,124
471,49.0034,48.7799,49.6579,49.6579,48.7799,1616731200000,28
6897,49.0556,49.32,49.0848,49.32,48.64,1616990400000,144
1330,48.2827,48.67,48.41,48.67,48.0201,1617076800000,46
342,47.459,47.3896,47.5487,47.5487,47.3896,1617163200000,20
1231,48.0596,47.9031,48.4519,48.4519,47.9031,1617249600000,36
1304,49.1684,49.07,49.4701,49.4701,49.07,1617595200000,45
566,48.1279,48.1,48.0094,48.1001,48.0094,1617681600000,41
68,48.0863,48.2966,48.2966,48.2966,48.2966,1617768000000,16
39,48.3354,48.4186,48.4186,48.4186,48.4186,1617854400000,15
435,48.7363,48.72,49.0558,49.0558,48.72,1617940800000,12
70,48.5471,48.4523,48.4523,48.4523,48.4523,1618200000000,11
404,48.6002,48.6,49.1122,49.1122,48.6,1618286400000,8
2096,48.9197,48.781,48.6739,49.16,48.6739,1618372800000,30
420,49.2819,49.29,49.2075,49.29,49.2075,1618459200000,17
42,49.3175,49.3829,49.3829,49.3829,49.3829,1618545600000,12
624,48.7683,49.129,48.4808,49.129,48.3894,1618804800000,20
572,46.4821,46.478,46.3997,46.512,46.3997,1618891200000,22
10554,46.7605,46.32,47.1,47.17,46.32,1618977600000,406
228,47.7906,47.8522,47.4476,47.8522,47.4476,1619064000000,14
1247,47.9736,47.6,48.3631,48.3631,47.6,1619150400000,21
2229,48.0743,48.65,47.6957,48.65,47.64,1619409600000,34
253,46.6193,46.6139,46.6139,46.6139,46.6139,1619496000000,19
1218,46.6505,46.6,46.5061,46.84,46.5061,1619582400000,24
1410,46.761,46.8,46.5984,46.8,46.48,1619668800000,17
279,45.8759,45.6504,45.6504,45.6504,45.6504,1619755200000,23
7696,46.5691,46.42,46.8316,46.8316,46.3,1620014400000,107
6428,45.721,46.11,45.7369,46.24,45.43,1620100800000,222
1328,46.836,46.75,46.8221,46.9104,46.75,1620187200000,15
301,46.9056,46.9199,47.467,47.467,46.9199,1620273600000,8
1988,47.8061,47.54,47.97,48.09,47.54,1620360000000,28
5628,48.4413,48.67,47.7945,48.67,47.79,1620619200000,77
469,45.8064,46.1672,46.1672,46.1672,46.1672,1620705600000,31
14689,43.8074,44.5,42.97,44.76,42.74,1620792000000,215
242,43.6081,43.7203,43.7203,43.7203,43.7203,1620878400000,17
351,44.9832,45.1604,45.1604,45.1604,45.1604,1620964800000,18
498,44.2419,44.2412,44.2776,44.295,44.2412,1621224000000,14
1013,45.8792,45.8804,45.4472,45.8804,45.4472,1621310400000,7
121,44.8602,44.9961,44.9961,44.9961,44.9961,1621396800000,10
1098,45.7634,45.7899,45.7689,45.7899,45.76,1621483200000,14
554,46.2397,46.3062,46.3062,46.3062,46.3062,1621569600000,24
3432,46.7731,46.71,46.6684,46.82,46.6684,1621828800000,38
7820,46.5314,46.63,46.52,46.74,46.3,1621915200000,98
135,46.6937,46.6858,46.6858,46.6858,46.6858,1622001600000,2
243,46.5716,46.55,46.7326,46.7326,46.55,1622088000000,12
8685,47.4252,47.0,47.2543,47.56,47.0,1622174400000,251
4011,46.9371,47.57,46.5558,47.57,46.55,1622520000000,64
790,47.422,47.44,47.4675,47.4675,47.4,1622606400000,18
6,47.4733,47.5712,47.5712,47.5712,47.5712,1622692800000,3
7111,48.7403,48.74,48.49,48.88,48.49,1622779200000,75
2115,48.6062,48.53,48.7839,48.7839,48.49,1623038400000,28
2368,49.0519,49.0,48.5918,49.1,48.57,1623124800000,31
2299,47.916,48.07,47.7196,48.07,47.71,1623211200000,37
713,48.2295,48.282,48.0118,48.282,47.99,1623297600000,22
526,47.9373,48.2221,48.2221,48.2221,48.2221,1623384000000,6
2842,47.937,47.99,48.1503,48.1503,47.72,1623643200000,45
1045,48.8055,49.34,48.6643,49.34,48.58,1623729600000,19
2033,48.7026,48.69,48.6894,48.7912,48.65,1623816000000,30
1838,48.0465,48.08,48.3583,48.3583,47.83,1623902400000,27
3998,46.1195,46.14,46.0046,46.17,45.92,1623988800000,73
18270,46.7042,45.9201,46.89,46.95,45.9201,1624248000000,210
938,46.9674,46.9499,47.0659,47.0659,46.9499,1624334400000,30
2238,46.4037,46.4,46.1815,46.5,46.1815,1624420800000,46
1980,46.9739,46.98,47.1273,47.13,46.9,1624507200000,26
314,47.4911,47.422,47.5659,47.5659,47.422,1624593600000,11
11134,47.2393,47.68,47.49,47.68,47.06,1624852800000,120
704,47.2835,47.36,47.2034,47.42,47.15,1624939200000,25
5189,46.3014,46.5,46.2797,46.5,45.99,1625025600000,75
1954,45.9983,46.0,46.4732,46.4732,45.82,1625112000000,36
17678,46.4983,46.54,46.75,46.75,46.39,1625198400000,218
415,46.3321,46.32,46.475,46.475,46.32,1625544000000,24
146,46.3665,46.5694,46.5694,46.5694,46.5694,1625630400000,18
434,44.9136,45.12,45.0197,45.12,44.67,1625716800000,26
1565,47.1855,47.1,47.4184,47.4184,47.1,1625803200000,33
11402,47.6357,47.5,47.77,47.94,47.35,1626062400000,122
318,47.3283,47.3944,47.3944,47.3944,47.3944,1626148800000,14
847,48.0196,47.98,47.9699,48.0,47.9699,1626235200000,26
359,46.6896,46.66,46.6911,46.6911,46.66,1626321600000,11
1043,46.1288,45.991,45.6836,46.32,45.6836,1626408000000,32
15223,44.2177,44.75,44.34,44.96,43.86,1626667200000,305
7814,45.4169,45.4,45.6011,45.6011,45.4,1626753600000,59
194,45.7517,46.1802,46.1802,46.1802,46.1802,1626840000000,13
6278,46.2584,46.26,46.1934,46.26,46.1934,1626926400000,40
540,46.604,46.655,46.6502,46.655,46.6,1627012800000,6
15846,46.0804,46.15,46.38,46.42,45.86,1627272000000,128
492,45.6316,45.5835,45.5089,45.5835,45.5089,1627358400000,12
1539,46.1978,45.88,46.2491,46.44,45.88,1627444800000,20
6011,46.6587,46.83,46.73,46.83,46.51,1627531200000,60
413,45.5765,45.59,45.6854,45.6854,45.48,1627617600000,15
19472,46.6494,46.99,46.31,47.0,46.22,1627876800000,240
6176,46.7905,46.4135,47.22,47.22,46.4,1627963200000,71
240,46.1417,46.09,46.2164,46.2164,46.09,1628049600000,15
158,46.6585,46.7505,46.7505,46.7505,46.7505,1628136000000,8
66,46.5059,46.5074,46.5074,46.5074,46.5074,1628222400000,6
113,46.2336,46.5109,46.5109,46.5109,46.5109,1628481600000,9
1059,46.5771,46.58,46.4325,46.585,46.4325,1628568000000,7
152,47.4176,47.6149,47.6149,47.6149,47.6149,1628654400000,6
170,47.329,47.45,47.2705,47.45,47.2705,1628740800000,12
1286,47.456,47.45,47.5539,47.59,47.3,1628827200000,16
6651,46.9238,46.74,46.97,46.97,46.74,1629086400000,67
54,46.2108,46.1034,46.1034,46.1034,46.1034,1629172800000,12
543,46.0672,46.07,45.7259,46.07,45.7259,1629259200000,12
2672,44.754,44.685,44.921,44.921,44.685,1629345600000,25
12791,44.4825,44.23,44.79,44.84,44.21,1629432000000,121
799,45.8551,45.69,46.08,46.17,45.69,1629691200000,22
240,46.773,46.75,46.983,46.983,46.75,1629777600000,17
5617,46.6677,46.68,46.71,46.71,46.58,1629864000000,77
581,46.3315,46.43,46.21,46.43,46.21,1629950400000,11
1395,46.4442,46.01,46.6851,46.6851,46.01,1630036800000,16
6053,46.6992,46.92,46.63,46.92,46.59,1630296000000,101
89,47.3631,47.2006,47.2006,47.2006,47.2006,1630382400000,11
10416,48.5446,48.29,48.56,48.9465,48.29,1630468800000,63
265,49.0814,49.2,49.0102,49.2,49.0102,1630555200000,10
4568,51.699,50.76,52.1,52.1,50.76,1630641600000,49
5892,52.6714,52.1,53.37,53.37,52.05,1630987200000,67
8854,52.9883,53.03,52.7039,53.3,52.5235,1631073600000,80
1115,53.6426,53.64,53.6048,53.89,53.29,1631160000000,30
6930,54.2431,55.11,53.5129,55.11,53.5129,1631246400000,68
37342,54.7829,55.18,54.915,55.18,54.48,1631505600000,114
2251,54.7494,55.0,54.34,55.16,54.34,1631592000000,38
3241,55.0125,54.83,55.3053,55.3053,54.765,1631678400000,71
5501,54.7261,54.6305,55.0338,55.12,54.5,1631764800000,60
11386,54.0579,54.135,54.19,54.22,53.81,1631851200000,139
11127,52.3626,53.1,52.5089,53.1,52.18,1632110400000,107
40979,53.6461,53.63,53.6968,53.899,53.58,1632196800000,180
4527,53.0762,53.0,53.1082,53.295,52.99,1632283200000,61
10168,53.4897,53.38,53.404,53.7402,53.33,1632369600000,69
33340,52.9332,52.6,52.992,53.29,52.6,1632456000000,274
814,52.8824,52.85,52.96,52.9644,52.845,1632715200000,20
37135,50.708,51.4,50.6086,51.4,50.4601,1632801600000,175
1546,50.8447,50.84,50.5701,51.0454,50.5701,1632888000000,31
3192,49.7523,49.79,49.9999,50.02,49.15,1632974400000,58
1647,48.6496,48.2786,49.1113,49.1113,48.2786,1633060800000,43
4923,46.4222,47.0053,46.3078,47.17,46.01,1633320000000,83
17108,46.8358,46.26,46.86,47.09,46.26,1633406400000,195
19747,45.0969,45.2,45.8883,46.03,45.04,1633492800000,91
1078,46.6964,46.4,46.6203,46.829,46.4,1633579200000,26
1039,46.0106,46.35,46.0881,46.35,45.933,1633665600000,14
795,46.9421,47.391,46.5498,47.391,46.5498,1633924800000,23
1902,46.096,45.8,45.9311,46.13,45.8,1634011200000,37
1130,45.6806,45.8,45.7206,45.8,45.5201,1634097600000,21
2419,46.7523,46.85,46.706,46.85,46.591,1634184000000,33
1791,47.7036,47.62,47.5951,47.86,47.5,1634270400000,23
38684,47.0199,46.91,47.13,47.28,46.84,1634529600000,160
1022,47.5907,47.49,47.6499,47.67,47.49,1634616000000,16
2244,47.597,47.58,47.5797,47.72,47.56,1634702400000,27
4842,46.0968,46.09,46.0371,46.2086,46.0,1634788800000,55
3885,46.5874,46.84,46.72,46.85,46.65,1634875200000,77
1961,46.8314,46.57,46.74,47.029,46.5,1635134400000,26
5291,47.2233,47.26,46.8122,47.3,46.8122,1635220800000,45
