Sex,"Year of death registration 
[note 3]","Q1 
Number of deaths","Q1 
Rate per 100,000","Q1 
LCL ","Q1 
UCL","Q2 
Number of deaths","Q2 
Rate per 100,000","Q2 
LCL","Q2 
UCL ","Q3 
Number of deaths","Q3 
Rate per 100,000","Q3 
LCL","Q3 
UCL","Q4 
Number of deaths","Q4 
Rate per 100,000
","Q4 
LCL 
","Q4 
UCL 
","Year 
Number of deaths","Year 
Rate per 100,000
","Year 
LCL 
","Year 
UCL 
"
Persons,2021,"1,274",10.4,9.9,11.0,"1,287",10.4,9.8,11.0,"1,265",10.1,9.6,10.7,,,,,,,,
Persons,2020,"1,263",10.3,9.8,10.9,849,7.0,6.5,7.4,"1,339",10.8,10.2,11.4,"1,461",11.7,11.1,12.3,"4,912",10.0,9.7,10.2
Persons,2019,"1,247",10.3,9.7,10.9,"1,326",10.8,10.2,11.4,"1,330",10.8,10.2,11.3,"1,413",11.4,10.8,11.9,"5,316",10.8,10.5,11.1
Persons,2018,"1,143",9.5,9.0,10.1,"1,253",10.3,9.7,10.9,"1,301",10.6,10.0,11.1,"1,324",10.7,10.1,11.3,"5,021",10.3,10.0,10.6
Persons,2017,"1,035",8.7,8.2,9.2,"1,118",9.2,8.7,9.8,"1,168",9.6,9.0,10.1,"1,130",9.2,8.7,9.8,"4,451",9.2,8.9,9.5
Persons,2016,"1,082",9.0,8.5,9.6,"1,147",9.5,9.0,10.1,"1,139",9.4,8.8,9.9,"1,207",9.9,9.4,10.5,"4,575",9.5,9.2,9.7
Persons,2015,"1,164",9.9,9.3,10.5,"1,132",9.5,8.9,10.0,"1,264",10.5,9.9,11.1,"1,260",10.4,9.8,11.0,"4,820",10.1,9.8,10.4
Persons,2014,"1,239",10.6,10.1,11.2,"1,207",10.2,9.6,10.8,"1,246",10.4,9.8,11.0,"1,190",9.9,9.4,10.5,"4,882",10.3,10.0,10.6
Persons,2013,"1,075",9.3,8.7,9.8,"1,214",10.4,9.8,11.0,"1,165",9.8,9.2,10.4,"1,273",10.7,10.1,11.3,"4,727",10.1,9.8,10.4
Persons,2012,"1,029",8.8,8.3,9.4,"1,096",9.4,8.8,10.0,"1,166",9.9,9.3,10.4,"1,222",10.3,9.8,10.9,"4,513",9.6,9.3,9.9
Persons,2011,"1,036",9.0,8.5,9.6,"1,173",10.1,9.6,10.7,"1,151",9.8,9.2,10.4,"1,158",9.9,9.3,10.5,"4,518",9.7,9.4,10.0
Persons,2010,969,8.6,8.0,9.1,"1,064",9.3,8.7,9.8,"1,075",9.3,8.7,9.8,"1,094",9.4,8.8,10.0,"4,202",9.1,8.9,9.4
