areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,02/10/2021,11935,30164
E92000001,England,nation,01/10/2021,11883,26965
E92000001,England,nation,30/09/2021,11510,29179
E92000001,England,nation,29/09/2021,11851,29376
E92000001,England,nation,28/09/2021,10895,28827
E92000001,England,nation,27/09/2021,9626,27910
E92000001,England,nation,26/09/2021,7124,21528
E92000001,England,nation,25/09/2021,13427,44097
E92000001,England,nation,24/09/2021,13145,39033
E92000001,England,nation,23/09/2021,13663,41384
E92000001,England,nation,22/09/2021,12870,39271
E92000001,England,nation,21/09/2021,13439,38580
E92000001,England,nation,20/09/2021,13135,40649
E92000001,England,nation,19/09/2021,8647,30631
E92000001,England,nation,18/09/2021,17923,66861
E92000001,England,nation,17/09/2021,14229,55016
E92000001,England,nation,16/09/2021,15637,57905
E92000001,England,nation,15/09/2021,15911,56138
E92000001,England,nation,14/09/2021,14492,55365
E92000001,England,nation,13/09/2021,12947,53360
E92000001,England,nation,12/09/2021,9618,42741
E92000001,England,nation,11/09/2021,19830,87186
E92000001,England,nation,10/09/2021,18084,78808
E92000001,England,nation,09/09/2021,18346,86221
E92000001,England,nation,08/09/2021,17251,74940
E92000001,England,nation,07/09/2021,16427,70626
E92000001,England,nation,06/09/2021,15344,69762
E92000001,England,nation,05/09/2021,12914,59459
E92000001,England,nation,04/09/2021,27056,117070
E92000001,England,nation,03/09/2021,24009,98483
E92000001,England,nation,02/09/2021,26143,102583
E92000001,England,nation,01/09/2021,26874,100179
E92000001,England,nation,31/08/2021,26805,103494
E92000001,England,nation,30/08/2021,12356,51577
E92000001,England,nation,29/08/2021,16065,65071
E92000001,England,nation,28/08/2021,30446,117107
E92000001,England,nation,27/08/2021,30630,115237
E92000001,England,nation,26/08/2021,36672,127068
E92000001,England,nation,25/08/2021,40848,127037
E92000001,England,nation,24/08/2021,38817,122881
E92000001,England,nation,23/08/2021,30452,111600
E92000001,England,nation,22/08/2021,26621,95911
E92000001,England,nation,21/08/2021,51161,175571
E92000001,England,nation,20/08/2021,43392,146629
E92000001,England,nation,19/08/2021,40534,153821
E92000001,England,nation,18/08/2021,33551,146156
E92000001,England,nation,17/08/2021,28949,119492
E92000001,England,nation,16/08/2021,25021,116456
E92000001,England,nation,15/08/2021,22106,101459
E92000001,England,nation,14/08/2021,35740,177440
E92000001,England,nation,13/08/2021,27773,144468
E92000001,England,nation,12/08/2021,31470,164963
E92000001,England,nation,11/08/2021,30507,146225
E92000001,England,nation,10/08/2021,25234,119974
E92000001,England,nation,09/08/2021,19902,109999
E92000001,England,nation,08/08/2021,17743,95206
E92000001,England,nation,07/08/2021,32276,188539
E92000001,England,nation,06/08/2021,25521,139720
